PowerPlantFacilityURI,PlantName,PlantType,OtherID,Label,Owner,Operator,OperationalDate,Status,StatusDate,Township,Range,Section,SectionPart,UTM_E,UTM_N,UTMDatumZone,County,State,LatDegree,LongDegree,SRS,LocationUncertaintyStatement,LocationUncertaintyCode,LocationUncertaintyRadius,LocationKeyword,Notes,UseApplication,Capacity_MW,FacilityContact,PostalAddress,Zip,Phone,EMailAddress,Source,FluidTemperature_C,Flow_gpm,RelatedResource,MetadataURI,UpdateTimeStamp
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:31/,NCPA 2,,NBMG_ID:31,NCPA 2 | NBMG_ID:31,Northern California Power Agency,Missing,1900-01-01T00:00,Unknown,,10 N,8 W,2,central SE,3540.67071,4304360.38261,Mt. Diablo,Lake,CA,38.748,-122.711,WGS 1984,Unknown Accuracy,,,The Geysers,,nil:missing,110.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:32/,Bottle Rock,,NBMG_ID:32,Bottle Rock | NBMG_ID:32,Bottle Rock Power Corp.,Missing,1900-01-01T00:00,Unknown,,11 N,8 W,5,,-834.57624,4314319.65937,Mt. Diablo,Lake,CA,38.835,-122.768,WGS 1984,Unknown Accuracy,,,The Geysers,,nil:missing,55.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:33/,Mammoth MP1,,NBMG_ID:33,Mammoth MP1 | NBMG_ID:33,Mammoth Pacific,Missing,1900-01-01T00:00,Unknown,,3 S,28 E,32,W central,331617.23949,4168241.04364,Mt. Diablo,Mono,CA,37.646,-118.909,WGS 1984,Unknown Accuracy,,,Mammoth Lakes,,nil:missing,10.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:34/,Mammoth MP2,,NBMG_ID:34,Mammoth MP2 | NBMG_ID:34,Mammoth Pacific,Missing,1900-01-01T00:00,Unknown,,3 S,28 E,32,central,331500.58984,4168243.12667,Mt. Diablo,Mono,CA,37.646,-118.910,WGS 1984,Unknown Accuracy,,,Mammoth Lakes,,nil:missing,15.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:35/,Mammoth PLES1,,NBMG_ID:35,Mammoth PLES1 | NBMG_ID:35,Mammoth Pacific,Missing,1900-01-01T00:00,Unknown,,3 S,28 E,32,central,331127.72755,4168153.55641,Mt. Diablo,Mono,CA,37.645,-118.914,WGS 1984,Unknown Accuracy,,,Mammoth Lakes,,nil:missing,15.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:4/,Dixie Valley,Double Flash,NBMG_ID:4,Dixie Valley | NBMG_ID:4,Terra Gen Power,Missing,1988-01-01T00:00,Unknown,,24 N,37 E,7,,426924.61432,4424432.77539,Mt. Diablo,Dixie Valley,NV,39.967,-117.856,WGS 1984,Unknown Accuracy,,,Nevada,,nil:missing,62.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:5/,Empire,Binary,NBMG_ID:5,Empire | NBMG_ID:5,U.S. Geothermal,Missing,1987-01-01T00:00,Unknown,,29 N,23 E,21,,295780.72122,4471547.84546,Mt. Diablo,San Emidio,NV,40.370,-119.405,WGS 1984,Unknown Accuracy,,,Nevada,,nil:missing,4.8,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:50/,Wineagle,,NBMG_ID:50,Wineagle | NBMG_ID:50,Carson Development Co. Inc.,Missing,1900-01-01T00:00,Unknown,,29 N,16 E,23,NWSE,223577.07997,4472462.59916,Mt. Diablo,Lassen,CA,40.357,-120.255,WGS 1984,Unknown Accuracy,,,Wendel-Amedee,,nil:missing,0.7,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:51/,Amedee,,NBMG_ID:51,Amedee | NBMG_ID:51,Amedee Geothermal Venture 1,Missing,1900-01-01T00:00,Unknown,,28 N,16 E,8,N central,228454.24716,4466046.85966,Mt. Diablo,Lassen,CA,40.301,-120.195,WGS 1984,Unknown Accuracy,,,Wendel-Amedee,,nil:missing,2.6,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:52/,Navy 1,,NBMG_ID:52,Navy 1 | NBMG_ID:52,Coso Operating Company,Missing,1900-01-01T00:00,Unknown,,22 S,39 E,8,NW,428125.46102,3988396.00341,Mt. Diablo,Lassen,CA,36.037,-117.798,WGS 1984,Unknown Accuracy,,,Coso,,nil:missing,102.4,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:53/,Navy 2,,NBMG_ID:53,Navy 2 | NBMG_ID:53,Coso Operating Company,Missing,1900-01-01T00:00,Unknown,,22 S,39 E,17,NESW,428630.22840,3986411.87930,Mt. Diablo,Inyo,CA,36.020,-117.792,WGS 1984,Unknown Accuracy,,,Coso,,nil:missing,100.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:54/,BLM East,,NBMG_ID:54,BLM East | NBMG_ID:54,Coso Operating Company,Missing,1900-01-01T00:00,Unknown,,22 S,39 E,20,S central,428894.26057,3984513.17737,Mt. Diablo,Inyo,CA,36.002,-117.789,WGS 1984,Unknown Accuracy,,,Coso,,nil:missing,45.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:55/,BLM West,,NBMG_ID:55,BLM West | NBMG_ID:55,Coso Operating Company,Missing,1900-01-01T00:00,Unknown,,22 S,39 E,19,central,426925.66777,3984971.35084,Mt. Diablo,Inyo,CA,36.006,-117.811,WGS 1984,Unknown Accuracy,,,Coso,,nil:missing,45.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:6/,"Steamboat 1, 1A",Binary,NBMG_ID:6,"Steamboat 1, 1A | NBMG_ID:6",ORMAT,Missing,1986-01-01T00:00,Unknown,,18 N,20 E,29,,262859.61428,4364109.98851,Mt. Diablo,Washoe,NV,39.394,-119.754,WGS 1984,Unknown Accuracy,,,Steamboat Hills,,nil:missing,10.8,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:7/,"Steamboat 2, 3",Binary,NBMG_ID:7,"Steamboat 2, 3 | NBMG_ID:7",ORMAT,Missing,1992-01-01T00:00,Unknown,,18 N,20 E,29,,262755.80396,4363737.67020,Mt. Diablo,Washoe,NV,39.391,-119.755,WGS 1984,Unknown Accuracy,,,Steamboat Hills,,nil:missing,47.8,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:8/,Burdette (Galena 1),Binary,NBMG_ID:8,Burdette (Galena 1) | NBMG_ID:8,ORMAT,Missing,2005-01-01T00:00,Unknown,,18 N,20 E,29,,263433.18952,4364212.75962,Mt. Diablo,Churchhill,NV,39.395,-119.747,WGS 1984,Unknown Accuracy,,,Steamboat Hills,,nil:missing,30.0,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
http://resources.usgin.org/uri-gin/nbmg/powerplant/NBMG_ID:9/,Steamboat Hills,Single Flash,NBMG_ID:9,Steamboat Hills | NBMG_ID:9,ORMAT,Missing,1988-01-01T00:00,Unknown,,17 N,20 E,5,,261630.14109,4361484.38043,Mt. Diablo,Steamboat,NV,39.370,-119.767,WGS 1984,Unknown Accuracy,,,Steamboat Hills,,nil:missing,14.5,nil:missing,,,,,MBMG - 2011; ftp://ftp.nbmg.unr.edu/pub/geothermal/05_Geothermal_Data/powerplants.zip,,,,,2011-11-01T00:00
