ObservationURI,ObservationName,Label,RelatedSampleURI,OtherID,SampleDepth,MeasurementUnits,SiteLocationURI,SiteLocationName,LocalityTerms,County,State,LatDegreeWGS84,LongDegreeWGS84,SRS,LocationUncertaintyStatement,SampleCollectionDate,SampleMeasurementDate,SampleType,SampleShape,SampleDimensionsHeight,SampleDimensionsWidth,SampleDimensionsLength,SampleDimensionsUnits,SampleDensity,UncertaintyDensity,SampleDensityUnits,Laboratory,MeasurementDevice,MeasurementProcedure,MeasurementPressure,MeasurementPressureUnits,SampleTemperature,SampleTemperatureUnits,MeasurementDuration,MeasurementDirection,MeasurementRun,BulkMixingFormula,SaturationFluid,SaturatedSampleConductivity,DrySampleConductivity,AverageThermalConductivity,UncertaintyTC,CorrectionTC,CorrectionDescription,UnitsTC,SpecificHeat,UncertaintySpecificHeat,SpecificHeatUnits,ThermalDiffusivity,UncertaintyThermalDiffusivity,UnitsThermalDiffusivity,GeologicFormationName,GeologicFormationURI,GeologicFormationType,DatumElevation,Elevation,Permeability,UnitsPermeability,Porosity,Notes,MetadataURI,Source
27011 436-434,27011,27011 436-434,,,436,meters,,,,Sterns,MN,45.5,-94.57,,,,2011,Drill Hole,Cylinder,16.18,1.816,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.35,,,,,,,,,,,,,Unnamed,,Biotite Hornblende Granite,,,,,,,,
97-3 365-367,97-3,97-3 365-367,,,365,meters,,,,Aitkin,MN,46.36,-93.75,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,3.32,,,,,,,,,,,,,Mille Lacs Lake Granite,,Granite,,,,,,,,
AB-10 90-92,AB-10,AB-10 90-92,,,90,meters,,,,Aitkin,MN,46.33,-93.14,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.67,,,,,,,,,,,,,McGrath Gneiss,,Granitic Augen Gneiss,,,,,,,,
BB-11 284-28,BB-11,BB-11 284-28,,,284,meters,,,,Koochiching,MN,47.9,-94.37,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.93,,,,,,,,,,,,,Unnamed,,Chloritized Diorite,,,,,,,,
BB-3 152-156,BB-3,BB-3 152-156,,,152,meters,,,,Koochiching,MN,47.87,-94.25,,,,2011,Drill Hole,Cylinder,14.36,1.418,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.47,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
BB-6 208-210,BB-6,BB-6 208-210,,,208,meters,,,,Koochiching,MN,47.94,-94.18,,,,2011,Drill Hole,Cylinder,18.77,2.073,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.89,,,,,,,,,,,,,Unnamed,,Granodiorite,,,,,,,,
BB-8 221-227,BB-8,BB-8 221-227,,,221,meters,,,,Koochiching,MN,47.92,-94.19,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,,,,,,,,,,,,,,Unnamed,,Foliated Monzonite,,,,,,,,
BKU-81-1 800-803,BKU-81-1,BKU-81-1 800-803,,,800,meters,,,,Meeker,MN,45.04,-94.54,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.98,,,,,,,,,,,,,Rockville Granite,,Diorite,,,,,,,,
BO-1 1550-1553,BO-1,BO-1 1550-1553,,,1550,meters,,,,Filmore,MN,43.53,-91.78,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.94,,,,,,,,,,,,,Unnamed,,Amphibolitic Gneiss,,,,,,PEDB is an acronym for Portable Electronic Divided Bar.  It is manufactur3ed by Hot Dry Rocks Ltd.,,
BR-2 152-156.5,BR-2,BR-2 152-156.5,,,152,meters,,,,Koochiching,MN,47.99,-93.75,,,,2011,Drill Hole,Cylinder,22.36,2.852,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.85,,,,,,,,,,,,,Unnamed,,Monzodiorite,,,,,,,,
BR-4 185-192,BR-4,BR-4 185-192,,,185,meters,,,,Koochiching,MN,47.97,-93.77,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,1.76,,,,,,,,,,,,,Unnamed,,Quartz Diorite,,,,,,,,
CB-12 302-306,CB-12,CB-12 302-306,,,302,meters,,,,Itasca,MN,47.84,-94.32,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.71,,,,,,,,,,,,,Unnamed,,Monzodiorite,,,,,,,,
CB-13 20-23,CB-13,CB-13 20-23,,,20,meters,,,,Itasca,MN,47.78,-94.31,,,,2011,Drill Hole,Cylinder,,,,,,,,U. North Dakota,PEDB,PEDB Routine,,,25,Deg C,,,,,,2.36,,,,,,,,,,,,,Unnamed,,Granite,,,,,,,,
