Maithili,mai,iso 639-2
Makasar,mak,iso 639-2
Malayalam,mal,iso 639-2
Maori,mri,iso 639-2
Marathi,mar,iso 639-2
Masai,mas,iso 639-2
Moksha,mdf,iso 639-2
Mandar,mdr,iso 639-2
Mende,men,iso 639-2
Mi'kmaq,mic,iso 639-2
Minangkabau,min,iso 639-2
Macedonian,mkd,iso 639-2
Maltese,mlt,iso 639-2
Manchu,mnc,iso 639-2
Manipuri,mni,iso 639-2
Mohawk,moh,iso 639-2
Mossi,mos,iso 639-2
Maori,mri,iso 639-2
Creek,mus,iso 639-2
Mirandese,mwl,iso 639-2
Burmese,mya,iso 639-2
Erzya,myv,iso 639-2
Neapolitan,nap,iso 639-2
Nauru,nau,iso 639-2
Navajo,nav,iso 639-2
South Ndebele,nbl,iso 639-2
North Ndebele,nde,iso 639-2
Ndonga,ndo,iso 639-2
Low German,nds,iso 639-2
Newari,new,iso 639-2
Nias,nia,iso 639-2
Niuean,niu,iso 639-2
Dutch,nld,iso 639-2
Norwegian Nynorsk,nno,iso 639-2
Norwegian Bokmål,nob,iso 639-2
Nogai,nog,iso 639-2
N'Ko,nqo,iso 639-2
Pedi,nso,iso 639-2
Nyanja,nya,iso 639-2
Nyamwezi,nym,iso 639-2
Nyankole,nyn,iso 639-2
Nyoro,nyo,iso 639-2
Nzima,nzi,iso 639-2
Occitan,oci,iso 639-2
Osage,osa,iso 639-2
Ossetian,oss,iso 639-2
Pangasinan,pag,iso 639-2
Pampanga,pam,iso 639-2
Panjabi,pan,iso 639-2
Papiamento,pap,iso 639-2
Palauan,pau,iso 639-2
Polish,pol,iso 639-2
Pohnpeian,pon,iso 639-2
Portuguese,por,iso 639-2
Rapanui,rap,iso 639-2
Rarotongan,rar,iso 639-2
Romansh,roh,iso 639-2
Romanian,ron,iso 639-2
Romanian,ron,iso 639-2
Rundi,run,iso 639-2
Macedo-Romanian,rup,iso 639-2
Russian,rus,iso 639-2
Sandawe,sad,iso 639-2
Sango,sag,iso 639-2
Yakut,sah,iso 639-2
Sasak,sas,iso 639-2
Santali,sat,iso 639-2
Sicilian,scn,iso 639-2
Scots,sco,iso 639-2
Selkup,sel,iso 639-2
Shan,shn,iso 639-2
Sidamo,sid,iso 639-2
Sinhala,sin,iso 639-2
Slovak,slk,iso 639-2
Slovak,slk,iso 639-2
Slovenian,slv,iso 639-2
Southern Sami,sma,iso 639-2
Northern Sami,sme,iso 639-2
Lule Sami,smj,iso 639-2
Inari Sami,smn,iso 639-2
Samoan,smo,iso 639-2
Skolt Sami,sms,iso 639-2
Shona,sna,iso 639-2
Sindhi,snd,iso 639-2
Soninke,snk,iso 639-2
Somali,som,iso 639-2
Southern Sotho,sot,iso 639-2
Spanish,spa,iso 639-2
Sranan Tongo,srn,iso 639-2
Serbian,srp,iso 639-2
Serer,srr,iso 639-2
Swati,ssw,iso 639-2
Sukuma,suk,iso 639-2
Sundanese,sun,iso 639-2
Susu,sus,iso 639-2
Swedish,swe,iso 639-2
Tahitian,tah,iso 639-2
Tamil,tam,iso 639-2
Tatar,tat,iso 639-2
Telugu,tel,iso 639-2
Timne,tem,iso 639-2
Tereno,ter,iso 639-2
Tetum,tet,iso 639-2
Tajik,tgk,iso 639-2
Tagalog,tgl,iso 639-2
Thai,tha,iso 639-2
Tibetan,bod,iso 639-2
Tigre,tig,iso 639-2
Tigrinya,tir,iso 639-2
Tiv,tiv,iso 639-2
Tokelau,tkl,iso 639-2
Tlingit,tli,iso 639-2
Tonga,tog,iso 639-2
Tonga,ton,iso 639-2
Tok Pisin,tpi,iso 639-2
Tsimshian,tsi,iso 639-2
Tswana,tsn,iso 639-2
Tsonga,tso,iso 639-2
Turkmen,tuk,iso 639-2
Tumbuka,tum,iso 639-2
Turkish,tur,iso 639-2
Tuvalu,tvl,iso 639-2
Twi,twi,iso 639-2
Tuvinian,tyv,iso 639-2
Udmurt,udm,iso 639-2
Uighur,uig,iso 639-2
Ukrainian,ukr,iso 639-2
Umbundu,umb,iso 639-2
Urdu,urd,iso 639-2
Vai,vai,iso 639-2
Venda,ven,iso 639-2
Vietnamese,vie,iso 639-2
Votic,vot,iso 639-2
Wolaytta,wal,iso 639-2
Waray,war,iso 639-2
Washo,was,iso 639-2
Welsh,cym,iso 639-2
Walloon,wln,iso 639-2
Wolof,wol,iso 639-2
Kalmyk,xal,iso 639-2
Xhosa,xho,iso 639-2
Yao,yao,iso 639-2
Yapese,yap,iso 639-2
Yoruba,yor,iso 639-2
Zenaga,zen,iso 639-2
Zulu,zul,iso 639-2
Zuni,zun,iso 639-2
Akan,aka,iso 639-2
Albanian,sqi,iso 639-2
Arabic,ara,iso 639-2
Aymara,aym,iso 639-2
Azerbaijani,aze,iso 639-2
Baluchi,bal,iso 639-2
Bikol,bik,iso 639-2
Buriat,bua,iso 639-2
Chinese,zho,iso 639-2
Mari,chm,iso 639-2
Cree,cre,iso 639-2
Delaware,del,iso 639-2
Slave,den,iso 639-2
Dinka,din,iso 639-2
Dogri,doi,iso 639-2
Estonian,est,iso 639-2
Persian,fas,iso 639-2
Fulah,ful,iso 639-2
Gbaya,gba,iso 639-2
Gondi,gon,iso 639-2
Grebo,grb,iso 639-2
Guarani,grn,iso 639-2
Haida,hai,iso 639-2
Hmong,hmn,iso 639-2
Inuktitut,iku,iso 639-2
Inupiaq,ipk,iso 639-2
Judeo-Arabic,jrb,iso 639-2
Kanuri,kau,iso 639-2
Konkani,kok,iso 639-2
Komi,kom,iso 639-2
Kongo,kon,iso 639-2
Kpelle,kpe,iso 639-2
Kurdish,kur,iso 639-2
Lahnda,lah,iso 639-2
Latvian,lav,iso 639-2
Mandingo,man,iso 639-2
Malay,msa,iso 639-2
Malagasy,mlg,iso 639-2
Mongolian,mon,iso 639-2
Malay,msa,iso 639-2
Marwari,mwr,iso 639-2
Nepali,nep,iso 639-2
Norwegian,nor,iso 639-2
Ojibwa,oji,iso 639-2
Oriya,ori,iso 639-2
Oromo,orm,iso 639-2
Persian,fas,iso 639-2
Pushto,pus,iso 639-2
Quechua,que,iso 639-2
Rajasthani,raj,iso 639-2
Romany,rom,iso 639-2
Albanian,sqi,iso 639-2
Sardinian,srd,iso 639-2
Swahili,swa,iso 639-2
Syriac,syr,iso 639-2
Tamashek,tmh,iso 639-2
Uzbek,uzb,iso 639-2
Yiddish,yid,iso 639-2
Zapotec,zap,iso 639-2
Zhuang,zha,iso 639-2
Chinese,zho,iso 639-2
Zaza,zza,iso 639-2
